"tree1","tree2","pearson_r","decade","Site.x","Species.x","Region","hilo","Neighborhood.x","DBH","con_freq","con_freqBA","Site.y","Neighborhood.y","Species.y","dist"
"18pj2_1","18ac2_4",0.366166232213274,1960,"pp","PJ","SENF","high",2,118,0.192307692307692,0.509011649706043,"pp",2,"AC",17.2898643162419
"18pj2_3","18ac2_4",-0.408229154109347,1960,"pp","PJ","SENF","high",2,139.8,0.235294117647059,0.506127390468364,"pp",2,"AC",22.5145773781322
"18pj2_4","18ac2_4",-0.206447475035325,1960,"pp","PJ","SENF","high",2,91.6,0.173913043478261,0.278070802160221,"pp",2,"AC",31.2579789504667
"18pj2_5","18ac2_4",-0.124297439038777,1960,"pp","PJ","SENF","high",2,123.6,0.105263157894737,0.199367331987624,"pp",2,"AC",30.6523881472789
"18ac3_3","18ac3_1",0.466227253872697,1960,"pp","AC","SENF","high",3,113,0.304347826086957,0.311393435142726,"pp",3,"AC",25.2290956606834
"18ac3_4","18ac3_1",0.589920991655387,1960,"pp","AC","SENF","high",3,76.1,0.272727272727273,0.223896205196681,"pp",3,"AC",19.8347494175994
"18ac3_5","18ac3_1",0.163370801643855,1960,"pp","AC","SENF","high",3,42.5,0.391304347826087,0.196216824415165,"pp",3,"AC",17.3330713963587
"18ac3_6","18ac3_1",0.69767151083638,1960,"pp","AC","SENF","high",3,56,0.444444444444444,0.234159602609112,"pp",3,"AC",11.2594665273622
"18ac3_7","18ac3_1",0.420151097229048,1960,"pp","AC","SENF","high",3,27.5,0.5,0.245293544172577,"pp",3,"AC",14.1370420678687
"18pj3_1","18ac3_1",0.319675343152829,1960,"pp","PJ","SENF","high",3,117.5,0.25,0.577171014321125,"pp",3,"AC",44.8774070270878
"18pj3_2","18ac3_1",0.680691491590312,1960,"pp","PJ","SENF","high",3,104.4,0.0869565217391304,0.161943521934499,"pp",3,"AC",23.9600959363687
"18pl3_1","18ac3_1",0.468890888483917,1960,"pp","PL","SENF","high",3,68.2,0.0416666666666667,0.0647533284430921,"pp",3,"AC",3.10442723607769
"18ac3_4","18ac3_3",0.567572179815104,1960,"pp","AC","SENF","high",3,76.1,0.272727272727273,0.223896205196681,"pp",3,"AC",9.13496167050355
"18ac3_5","18ac3_3",-0.51293988072514,1960,"pp","AC","SENF","high",3,42.5,0.391304347826087,0.196216824415165,"pp",3,"AC",24.3532915931021
"18ac3_6","18ac3_3",0.414766378104972,1960,"pp","AC","SENF","high",3,56,0.444444444444444,0.234159602609112,"pp",3,"AC",30.8412175251188
"18ac3_7","18ac3_3",0.337113057635064,1960,"pp","AC","SENF","high",3,27.5,0.5,0.245293544172577,"pp",3,"AC",35.4499751997549
"18pj3_1","18ac3_3",0.503929027435725,1960,"pp","PJ","SENF","high",3,117.5,0.25,0.577171014321125,"pp",3,"AC",24.3476948221138
"18pj3_2","18ac3_3",0.571328856020299,1960,"pp","PJ","SENF","high",3,104.4,0.0869565217391304,0.161943521934499,"pp",3,"AC",11.1990982184314
"18pl3_1","18ac3_3",0.512822933269932,1960,"pp","PL","SENF","high",3,68.2,0.0416666666666667,0.0647533284430921,"pp",3,"AC",24.5650329722913
"18ac3_5","18ac3_4",-0.187103693649771,1960,"pp","AC","SENF","high",3,42.5,0.391304347826087,0.196216824415165,"pp",3,"AC",15.2542097098864
"18ac3_6","18ac3_4",0.603232139339016,1960,"pp","AC","SENF","high",3,56,0.444444444444444,0.234159602609112,"pp",3,"AC",22.8665063986743
"18ac3_7","18ac3_4",0.327341748769669,1960,"pp","AC","SENF","high",3,27.5,0.5,0.245293544172577,"pp",3,"AC",27.5410543114593
"18pj3_1","18ac3_4",0.355419687515572,1960,"pp","PJ","SENF","high",3,117.5,0.25,0.577171014321125,"pp",3,"AC",33.4530278808876
"18pj3_2","18ac3_4",0.678058597355848,1960,"pp","PJ","SENF","high",3,104.4,0.0869565217391304,0.161943521934499,"pp",3,"AC",4.9485679687612
"18pl3_1","18ac3_4",0.898069713712928,1960,"pp","PL","SENF","high",3,68.2,0.0416666666666667,0.0647533284430921,"pp",3,"AC",20.2439847249914
"18ac3_6","18ac3_5",0.138634883699254,1960,"pp","AC","SENF","high",3,56,0.444444444444444,0.234159602609112,"pp",3,"AC",11.8013640232338
"18ac3_7","18ac3_5",0.281700091849819,1960,"pp","AC","SENF","high",3,27.5,0.5,0.245293544172577,"pp",3,"AC",15.8039137418988
"18pj3_1","18ac3_5",0.576285672865989,1960,"pp","PJ","SENF","high",3,117.5,0.25,0.577171014321125,"pp",3,"AC",48.536181610209
"18pj3_2","18ac3_5",-0.113629305123201,1960,"pp","PJ","SENF","high",3,104.4,0.0869565217391304,0.161943521934499,"pp",3,"AC",15.6439933253219
"18pl3_1","18ac3_5",-0.437569053321237,1960,"pp","PL","SENF","high",3,68.2,0.0416666666666667,0.0647533284430921,"pp",3,"AC",19.8429240005302
"18ac3_7","18ac3_6",0.301001524113278,1960,"pp","AC","SENF","high",3,27.5,0.5,0.245293544172577,"pp",3,"AC",4.67485833127593
"18pj3_1","18ac3_6",0.320854650113751,1960,"pp","PJ","SENF","high",3,117.5,0.25,0.577171014321125,"pp",3,"AC",53.3161622482026
"18pj3_2","18ac3_6",0.631958662129412,1960,"pp","PJ","SENF","high",3,104.4,0.0869565217391304,0.161943521934499,"pp",3,"AC",25.2303049045639
"18pl3_1","18ac3_6",0.505728873389525,1960,"pp","PL","SENF","high",3,68.2,0.0416666666666667,0.0647533284430921,"pp",3,"AC",14.3593724508095
"18pj3_1","18ac3_7",0.15265526305675,1960,"pp","PJ","SENF","high",3,117.5,0.25,0.577171014321125,"pp",3,"AC",57.6301395234309
"18pj3_2","18ac3_7",0.305459867386963,1960,"pp","PJ","SENF","high",3,104.4,0.0869565217391304,0.161943521934499,"pp",3,"AC",29.849186016611
"18pl3_1","18ac3_7",0.207459388887984,1960,"pp","PL","SENF","high",3,68.2,0.0416666666666667,0.0647533284430921,"pp",3,"AC",17.0828776613791
"18pl1_1","18pj1_1",0.525434899695764,1960,"pp","PL","SENF","high",1,104.6,0.130434782608696,0.371192518893144,"pp",1,"PJ",8.13106578421942
"18pl1_2","18pj1_1",0.740876065585217,1960,"pp","PL","SENF","high",1,116.6,0.125,0.377469348418262,"pp",1,"PJ",5.12966296776684
"18pl1_3","18pj1_1",0.739978739183688,1960,"pp","PL","SENF","high",1,111.8,0.0731707317073171,0.34725476137367,"pp",1,"PJ",10.1178339893392
"18pj2_3","18pj2_1",0.138008388053143,1960,"pp","PJ","SENF","high",2,139.8,0.235294117647059,0.506127390468364,"pp",2,"PJ",12.6334856121892
"18pj2_4","18pj2_1",0.121173274907401,1960,"pp","PJ","SENF","high",2,91.6,0.173913043478261,0.278070802160221,"pp",2,"PJ",31.8630305321321
"18pj2_5","18pj2_1",0.278157465518934,1960,"pp","PJ","SENF","high",2,123.6,0.105263157894737,0.199367331987624,"pp",2,"PJ",35.2881144318587
"18pj2_4","18pj2_3",0.620447507688509,1960,"pp","PJ","SENF","high",2,91.6,0.173913043478261,0.278070802160221,"pp",2,"PJ",20.9849816477715
"18pj2_5","18pj2_3",0.770877691900696,1960,"pp","PJ","SENF","high",2,123.6,0.105263157894737,0.199367331987624,"pp",2,"PJ",26.1542758737336
"18pj2_5","18pj2_4",0.521075920965475,1960,"pp","PJ","SENF","high",2,123.6,0.105263157894737,0.199367331987624,"pp",2,"PJ",7.74196559660737
